epoch,P4,P6,P8,P10,P12
1,5744,4080,7280,2144,2656
2,5744,4080,7280,2144,2656
1,4368,5456,7280,3168,1632
2,4368,5456,7280,3168,1632
3,4368,5456,7280,3168,1632
4,4368,5456,7280,3168,1632
5,4368,5456,7280,3168,1632
6,4368,5456,7280,3168,1632
7,4368,5456,7280,3168,1632
8,4368,5456,7280,3168,1632
9,4368,5456,7280,3168,1632
10,4368,5456,7280,3168,1632
11,4368,5456,7280,3168,1632
12,4368,5456,7280,3168,1632
13,4368,5456,7280,3168,1632
14,4368,5456,7280,3168,1632
15,4368,5456,7280,3168,1632
16,4368,5456,7280,3168,1632
17,4368,5456,7280,3168,1632
18,4368,5456,7280,3168,1632
19,4368,5456,7280,3168,1632
20,4368,5456,7280,3168,1632
21,4368,5456,7280,3168,1632
22,4368,5456,7280,3168,1632
23,4368,5456,7280,3168,1632
24,4368,5456,7280,3168,1632
25,4368,5456,7280,3168,1632
26,4368,5456,7280,3168,1632
27,4368,5456,7280,3168,1632
28,4368,5456,7280,3168,1632
29,4368,5456,7280,3168,1632
30,4368,5456,7280,3168,1632
31,4368,5456,7280,3168,1632
32,4368,5456,7280,3168,1632
33,4368,5456,7280,3168,1632
34,4368,5456,7280,3168,1632
35,4368,5456,7280,3168,1632
36,4368,5456,7280,3168,1632
37,4368,5456,7280,3168,1632
38,4368,5456,7280,3168,1632
39,4368,5456,7280,3168,1632
40,4368,5456,7280,3168,1632
41,4368,5456,7280,3168,1632
42,4368,5456,7280,3168,1632
43,4368,5456,7280,3168,1632
44,4368,5456,7280,3168,1632
45,4368,5456,7280,3168,1632
46,4368,5456,7280,3168,1632
47,4368,5456,7280,3168,1632
48,4368,5456,7280,3168,1632
49,4368,5456,7280,3168,1632
50,4368,5456,7280,3168,1632
51,4368,5456,7280,3168,1632
52,4368,5456,7280,3168,1632
53,4368,5456,7280,3168,1632
54,4368,5456,7280,3168,1632
55,4368,5456,7280,3168,1632
56,4368,5456,7280,3168,1632
57,4368,5456,7280,3168,1632
58,4368,5456,7280,3168,1632
59,4368,5456,7280,3168,1632
60,4368,5456,7280,3168,1632
61,4368,5456,7280,3168,1632
62,4368,5456,7280,3168,1632
63,4368,5456,7280,3168,1632
64,4368,5456,7280,3168,1632
65,4368,5456,7280,3168,1632
66,4368,5456,7280,3168,1632
67,4368,5456,7280,3168,1632
68,4368,5456,7280,3168,1632
69,4368,5456,7280,3168,1632
70,4368,5456,7280,3168,1632
71,4368,5456,7280,3168,1632
72,4368,5456,7280,3168,1632
73,4368,5456,7280,3168,1632
74,4368,5456,7280,3168,1632
75,4368,5456,7280,3168,1632
76,4368,5456,7280,3168,1632
77,4368,5456,7280,3168,1632
78,4368,5456,7280,3168,1632
79,4368,5456,7280,3168,1632
80,4368,5456,7280,3168,1632
81,4368,5456,7280,3168,1632
82,4368,5456,7280,3168,1632
83,4368,5456,7280,3168,1632
84,4368,5456,7280,3168,1632
85,4368,5456,7280,3168,1632
86,4368,5456,7280,3168,1632
87,4368,5456,7280,3168,1632
88,4368,5456,7280,3168,1632
89,4368,5456,7280,3168,1632
90,4368,5456,7280,3168,1632
91,4368,5456,7280,3168,1632
92,4368,5456,7280,3168,1632
93,4368,5456,7280,3168,1632
94,4368,5456,7280,3168,1632
95,4368,5456,7280,3168,1632
96,4368,5456,7280,3168,1632
97,4368,5456,7280,3168,1632
98,4368,5456,7280,3168,1632
99,4368,5456,7280,3168,1632
100,4368,5456,7280,3168,1632
101,4368,5456,7280,3168,1632
102,4368,5456,7280,3168,1632
103,4368,5456,7280,3168,1632
104,4368,5456,7280,3168,1632
105,4368,5456,7280,3168,1632
106,4368,5456,7280,3168,1632
107,4368,5456,7280,3168,1632
108,4368,5456,7280,3168,1632
109,4368,5456,7280,3168,1632
110,4368,5456,7280,3168,1632
111,4368,5456,7280,3168,1632
112,4368,5456,7280,3168,1632
113,4368,5456,7280,3168,1632
114,4368,5456,7280,3168,1632
115,4368,5456,7280,3168,1632
116,4368,5456,7280,3168,1632
117,4368,5456,7280,3168,1632
118,4368,5456,7280,3168,1632
119,4368,5456,7280,3168,1632
120,4368,5456,7280,3168,1632
121,4368,5456,7280,3168,1632
122,4368,5456,7280,3168,1632
123,4368,5456,7280,3168,1632
124,4368,5456,7280,3168,1632
125,4368,5456,7280,3168,1632
126,4368,5456,7280,3168,1632
127,4368,5456,7280,3168,1632
128,4368,5456,7280,3168,1632
129,4368,5456,7280,3168,1632
130,4368,5456,7280,3168,1632
131,4368,5456,7280,3168,1632
132,4368,5456,7280,3168,1632
133,4368,5456,7280,3168,1632
134,4368,5456,7280,3168,1632
135,4368,5456,7280,3168,1632
136,4368,5456,7280,3168,1632
137,4368,5456,7280,3168,1632
138,4368,5456,7280,3168,1632
139,4368,5456,7280,3168,1632
140,4368,5456,7280,3168,1632
141,4368,5456,7280,3168,1632
142,4368,5456,7280,3168,1632
143,4368,5456,7280,3168,1632
144,4368,5456,7280,3168,1632
145,4368,5456,7280,3168,1632
146,4368,5456,7280,3168,1632
147,4368,5456,7280,3168,1632
148,4368,5456,7280,3168,1632
149,4368,5456,7280,3168,1632
150,4368,5456,7280,3168,1632
151,4368,5456,7280,3168,1632
152,4368,5456,7280,3168,1632
153,4368,5456,7280,3168,1632
154,4368,5456,7280,3168,1632
155,4368,5456,7280,3168,1632
156,4368,5456,7280,3168,1632
157,4368,5456,7280,3168,1632
158,4368,5456,7280,3168,1632
159,4368,5456,7280,3168,1632
160,4368,5456,7280,3168,1632
161,4368,5456,7280,3168,1632
162,4368,5456,7280,3168,1632
163,4368,5456,7280,3168,1632
164,4368,5456,7280,3168,1632
165,4368,5456,7280,3168,1632
166,4368,5456,7280,3168,1632
167,4368,5456,7280,3168,1632
168,4368,5456,7280,3168,1632
169,4368,5456,7280,3168,1632
170,4368,5456,7280,3168,1632
171,4368,5456,7280,3168,1632
172,4368,5456,7280,3168,1632
173,4368,5456,7280,3168,1632
174,4368,5456,7280,3168,1632
175,4368,5456,7280,3168,1632
176,4368,5456,7280,3168,1632
177,4368,5456,7280,3168,1632
178,4368,5456,7280,3168,1632
179,4368,5456,7280,3168,1632
180,4368,5456,7280,3168,1632
181,4368,5456,7280,3168,1632
182,4368,5456,7280,3168,1632
183,4368,5456,7280,3168,1632
184,4368,5456,7280,3168,1632
185,4368,5456,7280,3168,1632
186,4368,5456,7280,3168,1632
187,4368,5456,7280,3168,1632
188,4368,5456,7280,3168,1632
189,4368,5456,7280,3168,1632
190,4368,5456,7280,3168,1632
191,4368,5456,7280,3168,1632
192,4368,5456,7280,3168,1632
193,4368,5456,7280,3168,1632
194,4368,5456,7280,3168,1632
195,4368,5456,7280,3168,1632
196,4368,5456,7280,3168,1632
197,4368,5456,7280,3168,1632
198,4368,5456,7280,3168,1632
199,4368,5456,7280,3168,1632
200,4368,5456,7280,3168,1632
201,4368,5456,7280,3168,1632
202,4368,5456,7280,3168,1632
203,4368,5456,7280,3168,1632
204,4368,5456,7280,3168,1632
205,4368,5456,7280,3168,1632
206,4368,5456,7280,3168,1632
207,4368,5456,7280,3168,1632
208,4368,5456,7280,3168,1632
209,4368,5456,7280,3168,1632
210,4368,5456,7280,3168,1632
211,4368,5456,7280,3168,1632
212,4368,5456,7280,3168,1632
213,4368,5456,7280,3168,1632
214,4368,5456,7280,3168,1632
215,4368,5456,7280,3168,1632
216,4368,5456,7280,3168,1632
217,4368,5456,7280,3168,1632
218,4368,5456,7280,3168,1632
219,4368,5456,7280,3168,1632
220,4368,5456,7280,3168,1632
221,4368,5456,7280,3168,1632
222,4368,5456,7280,3168,1632
223,4368,5456,7280,3168,1632
224,4368,5456,7280,3168,1632
225,4368,5456,7280,3168,1632
226,4368,5456,7280,3168,1632
227,4368,5456,7280,3168,1632
228,4368,5456,7280,3168,1632
229,4368,5456,7280,3168,1632
230,4368,5456,7280,3168,1632
231,4368,5456,7280,3168,1632
232,4368,5456,7280,3168,1632
233,4368,5456,7280,3168,1632
234,4368,5456,7280,3168,1632
235,4368,5456,7280,3168,1632
236,4368,5456,7280,3168,1632
237,4368,5456,7280,3168,1632
238,4368,5456,7280,3168,1632
239,4368,5456,7280,3168,1632
240,4368,5456,7280,3168,1632
241,4368,5456,7280,3168,1632
242,4368,5456,7280,3168,1632
243,4368,5456,7280,3168,1632
244,4368,5456,7280,3168,1632
245,4368,5456,7280,3168,1632
246,4368,5456,7280,3168,1632
247,4368,5456,7280,3168,1632
248,4368,5456,7280,3168,1632
249,4368,5456,7280,3168,1632
250,4368,5456,7280,3168,1632
251,4368,5456,7280,3168,1632
252,4368,5456,7280,3168,1632
253,4368,5456,7280,3168,1632
254,4368,5456,7280,3168,1632
255,4368,5456,7280,3168,1632
256,4368,5456,7280,3168,1632
257,4368,5456,7280,3168,1632
258,4368,5456,7280,3168,1632
259,4368,5456,7280,3168,1632
260,4368,5456,7280,3168,1632
261,4368,5456,7280,3168,1632
262,4368,5456,7280,3168,1632
263,4368,5456,7280,3168,1632
264,4368,5456,7280,3168,1632
265,4368,5456,7280,3168,1632
266,4368,5456,7280,3168,1632
267,4368,5456,7280,3168,1632
268,4368,5456,7280,3168,1632
269,4368,5456,7280,3168,1632
270,4368,5456,7280,3168,1632
271,4368,5456,7280,3168,1632
272,4368,5456,7280,3168,1632
273,4368,5456,7280,3168,1632
274,4368,5456,7280,3168,1632
275,4368,5456,7280,3168,1632
276,4368,5456,7280,3168,1632
277,4368,5456,7280,3168,1632
278,4368,5456,7280,3168,1632
279,4368,5456,7280,3168,1632
280,4368,5456,7280,3168,1632
281,4368,5456,7280,3168,1632
282,4368,5456,7280,3168,1632
283,4368,5456,7280,3168,1632
284,4368,5456,7280,3168,1632
285,4368,5456,7280,3168,1632
286,4368,5456,7280,3168,1632
287,4368,5456,7280,3168,1632
288,4368,5456,7280,3168,1632
289,4368,5456,7280,3168,1632
290,4368,5456,7280,3168,1632
291,4368,5456,7280,3168,1632
292,4368,5456,7280,3168,1632
293,4368,5456,7280,3168,1632
294,4368,5456,7280,3168,1632
295,4368,5456,7280,3168,1632
296,4368,5456,7280,3168,1632
297,4368,5456,7280,3168,1632
298,4368,5456,7280,3168,1632
299,4368,5456,7280,3168,1632
300,4368,5456,7280,3168,1632
301,4368,5456,7280,3168,1632
302,4368,5456,7280,3168,1632
303,4368,5456,7280,3168,1632
304,4368,5456,7280,3168,1632
305,4368,5456,7280,3168,1632
306,4368,5456,7280,3168,1632
307,4368,5456,7280,3168,1632
308,4368,5456,7280,3168,1632
309,4368,5456,7280,3168,1632
310,4368,5456,7280,3168,1632
311,4368,5456,7280,3168,1632
312,4368,5456,7280,3168,1632
313,4368,5456,7280,3168,1632
314,4368,5456,7280,3168,1632
315,4368,5456,7280,3168,1632
316,4368,5456,7280,3168,1632
317,4368,5456,7280,3168,1632
318,4368,5456,7280,3168,1632
319,4368,5456,7280,3168,1632
320,4368,5456,7280,3168,1632
321,4368,5456,7280,3168,1632
322,4368,5456,7280,3168,1632
323,4368,5456,7280,3168,1632
324,4368,5456,7280,3168,1632
325,4368,5456,7280,3168,1632
326,4368,5456,7280,3168,1632
327,4368,5456,7280,3168,1632
328,4368,5456,7280,3168,1632
329,4368,5456,7280,3168,1632
330,4368,5456,7280,3168,1632
331,4368,5456,7280,3168,1632
332,4368,5456,7280,3168,1632
333,4368,5456,7280,3168,1632
334,4368,5456,7280,3168,1632
335,4368,5456,7280,3168,1632
336,4368,5456,7280,3168,1632
337,4368,5456,7280,3168,1632
338,4368,5456,7280,3168,1632
339,4368,5456,7280,3168,1632
340,4368,5456,7280,3168,1632
341,4368,5456,7280,3168,1632
342,4368,5456,7280,3168,1632
343,4368,5456,7280,3168,1632
344,4368,5456,7280,3168,1632
345,4368,5456,7280,3168,1632
346,4368,5456,7280,3168,1632
347,4368,5456,7280,3168,1632
348,4368,5456,7280,3168,1632
349,4368,5456,7280,3168,1632
350,4368,5456,7280,3168,1632
351,4368,5456,7280,3168,1632
352,4368,5456,7280,3168,1632
353,4368,5456,7280,3168,1632
354,4368,5456,7280,3168,1632
355,4368,5456,7280,3168,1632
356,4368,5456,7280,3168,1632
357,4368,5456,7280,3168,1632
358,4368,5456,7280,3168,1632
359,4368,5456,7280,3168,1632
360,4368,5456,7280,3168,1632
361,4368,5456,7280,3168,1632
362,4368,5456,7280,3168,1632
363,4368,5456,7280,3168,1632
364,4368,5456,7280,3168,1632
365,4368,5456,7280,3168,1632
366,4368,5456,7280,3168,1632
367,4368,5456,7280,3168,1632
368,4368,5456,7280,3168,1632
369,4368,5456,7280,3168,1632
370,4368,5456,7280,3168,1632
371,4368,5456,7280,3168,1632
372,4368,5456,7280,3168,1632
373,4368,5456,7280,3168,1632
374,4368,5456,7280,3168,1632
375,4368,5456,7280,3168,1632
376,4368,5456,7280,3168,1632
377,4368,5456,7280,3168,1632
378,4368,5456,7280,3168,1632
379,4368,5456,7280,3168,1632
380,4368,5456,7280,3168,1632
381,4368,5456,7280,3168,1632
382,4368,5456,7280,3168,1632
383,4368,5456,7280,3168,1632
384,4368,5456,7280,3168,1632
385,4368,5456,7280,3168,1632
386,4368,5456,7280,3168,1632
387,4368,5456,7280,3168,1632
388,4368,5456,7280,3168,1632
389,4368,5456,7280,3168,1632
390,4368,5456,7280,3168,1632
391,4368,5456,7280,3168,1632
392,4368,5456,7280,3168,1632
393,4368,5456,7280,3168,1632
394,4368,5456,7280,3168,1632
395,4368,5456,7280,3168,1632
396,4368,5456,7280,3168,1632
397,4368,5456,7280,3168,1632
398,4368,5456,7280,3168,1632
399,4368,5456,7280,3168,1632
400,4368,5456,7280,3168,1632
401,4368,5456,7280,3168,1632
402,4368,5456,7280,3168,1632
403,4368,5456,7280,3168,1632
404,4368,5456,7280,3168,1632
405,4368,5456,7280,3168,1632
406,4368,5456,7280,3168,1632
407,4368,5456,7280,3168,1632
408,4368,5456,7280,3168,1632
409,4368,5456,7280,3168,1632
410,4368,5456,7280,3168,1632
411,4368,5456,7280,3168,1632
412,4368,5456,7280,3168,1632
413,4368,5456,7280,3168,1632
414,4368,5456,7280,3168,1632
415,4368,5456,7280,3168,1632
416,4368,5456,7280,3168,1632
417,4368,5456,7280,3168,1632
418,4368,5456,7280,3168,1632
419,4368,5456,7280,3168,1632
420,4368,5456,7280,3168,1632
421,4368,5456,7280,3168,1632
422,4368,5456,7280,3168,1632
423,4368,5456,7280,3168,1632
424,4368,5456,7280,3168,1632
425,4368,5456,7280,3168,1632
426,4368,5456,7280,3168,1632
427,4368,5456,7280,3168,1632
428,4368,5456,7280,3168,1632
429,4368,5456,7280,3168,1632
430,4368,5456,7280,3168,1632
431,4368,5456,7280,3168,1632
432,4368,5456,7280,3168,1632
433,4368,5456,7280,3168,1632
434,4368,5456,7280,3168,1632
435,4368,5456,7280,3168,1632
436,4368,5456,7280,3168,1632
437,4368,5456,7280,3168,1632
438,4368,5456,7280,3168,1632
439,4368,5456,7280,3168,1632
440,4368,5456,7280,3168,1632
441,4368,5456,7280,3168,1632
442,4368,5456,7280,3168,1632
443,4368,5456,7280,3168,1632
444,4368,5456,7280,3168,1632
445,4368,5456,7280,3168,1632
446,4368,5456,7280,3168,1632
447,4368,5456,7280,3168,1632
448,4368,5456,7280,3168,1632
449,4368,5456,7280,3168,1632
450,4368,5456,7280,3168,1632
451,4368,5456,7280,3168,1632
452,4368,5456,7280,3168,1632
453,4368,5456,7280,3168,1632
454,4368,5456,7280,3168,1632
455,4368,5456,7280,3168,1632
456,4368,5456,7280,3168,1632
457,4368,5456,7280,3168,1632
458,4368,5456,7280,3168,1632
459,4368,5456,7280,3168,1632
460,4368,5456,7280,3168,1632
461,4368,5456,7280,3168,1632
462,4368,5456,7280,3168,1632
463,4368,5456,7280,3168,1632
464,4368,5456,7280,3168,1632
465,4368,5456,7280,3168,1632
466,4368,5456,7280,3168,1632
467,4368,5456,7280,3168,1632
468,4368,5456,7280,3168,1632
469,4368,5456,7280,3168,1632
470,4368,5456,7280,3168,1632
471,4368,5456,7280,3168,1632
472,4368,5456,7280,3168,1632
473,4368,5456,7280,3168,1632
474,4368,5456,7280,3168,1632
475,4368,5456,7280,3168,1632
476,4368,5456,7280,3168,1632
477,4368,5456,7280,3168,1632
478,4368,5456,7280,3168,1632
479,4368,5456,7280,3168,1632
480,4368,5456,7280,3168,1632
481,4368,5456,7280,3168,1632
482,4368,5456,7280,3168,1632
483,4368,5456,7280,3168,1632
484,4368,5456,7280,3168,1632
485,4368,5456,7280,3168,1632
1,4368,5456,7280,3168,1632
2,4368,5456,7280,3168,1632
3,4368,5456,7280,3168,1632
4,4368,5456,7280,3168,1632
5,4368,5456,7280,3168,1632
6,4368,5456,7280,3168,1632
7,4368,5456,7280,3168,1632
8,4368,5456,7280,3168,1632
9,4368,5456,7280,3168,1632
10,4368,5456,7280,3168,1632
11,4368,5456,7280,3168,1632
12,4368,5456,7280,3168,1632
13,4368,5456,7280,3168,1632
14,4368,5456,7280,3168,1632
15,4368,5456,7280,3168,1632
16,4368,5456,7280,3168,1632
17,4368,5456,7280,3168,1632
18,4368,5456,7280,3168,1632
